"cvegeo","anio","indicador","valor_indicador"
31071,2015,"pobreza",48.9
31072,2015,"pobreza",54.4
31073,2015,"pobreza",94.1
31074,2015,"pobreza",72.3
31075,2015,"pobreza",80.5
31076,2015,"pobreza",50.6
31077,2015,"pobreza",87.8
31078,2015,"pobreza",71.3
31079,2015,"pobreza",55.4
31080,2015,"pobreza",70
31081,2015,"pobreza",92
31082,2015,"pobreza",61
31083,2015,"pobreza",36.7
31084,2015,"pobreza",79.4
31085,2015,"pobreza",73.3
31086,2015,"pobreza",55
31087,2015,"pobreza",64
31088,2015,"pobreza",62.1
31089,2015,"pobreza",57.2
31090,2015,"pobreza",61.8
31091,2015,"pobreza",65.5
31092,2015,"pobreza",93
31093,2015,"pobreza",37
31094,2015,"pobreza",80.4
31095,2015,"pobreza",43.4
31096,2015,"pobreza",60.2
31097,2015,"pobreza",81.7
31098,2015,"pobreza",72.2
31099,2015,"pobreza",89.9
31100,2015,"pobreza",49.9
31101,2015,"pobreza",36.4
31102,2015,"pobreza",54.4
31103,2015,"pobreza",76.9
31104,2015,"pobreza",70.7
31105,2015,"pobreza",55.9
31106,2015,"pobreza",50.6
31001,2010,"pobreza_moderada",32.4
31002,2010,"pobreza_moderada",46.7
31003,2010,"pobreza_moderada",51.9
31004,2010,"pobreza_moderada",43.2
31005,2010,"pobreza_moderada",34.7
31006,2010,"pobreza_moderada",54.3
31007,2010,"pobreza_moderada",50.1
31008,2010,"pobreza_moderada",48.7
31009,2010,"pobreza_moderada",48.2
31010,2010,"pobreza_moderada",44.5
31011,2010,"pobreza_moderada",58.3
31012,2010,"pobreza_moderada",50.8
31013,2010,"pobreza_moderada",34.1
31014,2010,"pobreza_moderada",44.8
31015,2010,"pobreza_moderada",51
31016,2010,"pobreza_moderada",48.7
31017,2010,"pobreza_moderada",47.3
31018,2010,"pobreza_moderada",41.6
31019,2010,"pobreza_moderada",45.7
31020,2010,"pobreza_moderada",47
31021,2010,"pobreza_moderada",38.4
31022,2010,"pobreza_moderada",30.2
31023,2010,"pobreza_moderada",46.1
31024,2010,"pobreza_moderada",45.5
31025,2010,"pobreza_moderada",50.9
31026,2010,"pobreza_moderada",48.1
31027,2010,"pobreza_moderada",42.1
31028,2010,"pobreza_moderada",47.1
31029,2010,"pobreza_moderada",50.9
31030,2010,"pobreza_moderada",50.4
31031,2010,"pobreza_moderada",48.9
31032,2010,"pobreza_moderada",50
31033,2010,"pobreza_moderada",49
31034,2010,"pobreza_moderada",54.4
31035,2010,"pobreza_moderada",49.3
31036,2010,"pobreza_moderada",49.2
31037,2010,"pobreza_moderada",57.1
31038,2010,"pobreza_moderada",49.2
31039,2010,"pobreza_moderada",46.5
31040,2010,"pobreza_moderada",47.1
31041,2010,"pobreza_moderada",35.3
31042,2010,"pobreza_moderada",50.5
31043,2010,"pobreza_moderada",50
31044,2010,"pobreza_moderada",59.8
31045,2010,"pobreza_moderada",35.8
31046,2010,"pobreza_moderada",48.2
31047,2010,"pobreza_moderada",49.8
31048,2010,"pobreza_moderada",41.2
31049,2010,"pobreza_moderada",39.2
31050,2010,"pobreza_moderada",24.3
31051,2010,"pobreza_moderada",31.9
31052,2010,"pobreza_moderada",39.7
31053,2010,"pobreza_moderada",48.1
31054,2010,"pobreza_moderada",40.6
31055,2010,"pobreza_moderada",50.5
31056,2010,"pobreza_moderada",53.3
31057,2010,"pobreza_moderada",55.1
31058,2010,"pobreza_moderada",50.9
31059,2010,"pobreza_moderada",42.4
31060,2010,"pobreza_moderada",53.2
31061,2010,"pobreza_moderada",34
31062,2010,"pobreza_moderada",48.4
31063,2010,"pobreza_moderada",45.1
31064,2010,"pobreza_moderada",40.5
31065,2010,"pobreza_moderada",32.3
31066,2010,"pobreza_moderada",57.7
31067,2010,"pobreza_moderada",52.6
31068,2010,"pobreza_moderada",49.8
31069,2010,"pobreza_moderada",45.2
31070,2010,"pobreza_moderada",56.8
31071,2010,"pobreza_moderada",47.8
31072,2010,"pobreza_moderada",32.8
31073,2010,"pobreza_moderada",29.8
